bucket,law_name,title,family,geo_extent,type_code,making_classification,lat_count,has_fitness,register_source
b_needs_enrichment,UK_uksi_2011_2157,Supply of Machinery (Safety) (Amendment) Regulations,💙 OH&S: Occupational / Personal Safety,UK,uksi,making,25,f,bms_import
b_needs_enrichment,UK_uksi_2012_3032,Restriction of the Use of Certain Hazardous Substances in Electrical and Electronic Equipment Regulations,💙 PUBLIC: Consumer / Product Safety,UK,uksi,making,404,f,bms_import
b_needs_enrichment,UK_uksi_2015_1640,Packaging (Essential Requirements) Regulations,💚 WASTE,UK,uksi,making,136,f,bms_import
b_needs_enrichment,UK_uksi_2015_21,"Classification, Labelling and Packaging of Chemicals (Amendments to Secondary Legislation) Regulations",💙 OH&S: Occupational / Personal Safety,UK,uksi,making,168,f,bms_import
b_needs_enrichment,UK_uksi_2015_668,Nitrate Pollution Prevention Regulations,💚 POLLUTION,UK,uksi,making,509,f,bms_import
b_needs_enrichment,UK_uksi_2016_315,Explosives Regulations 2014 (Amendment) Regulations,💙 FIRE: Dangerous and Explosive Substances,UK,uksi,making,62,f,bms_import
b_needs_enrichment,UK_uksi_2016_765,Air Navigation Order,💙 TRANSPORT: Air Safety,UK,uksi,making,2483,f,bms_import
b_needs_enrichment,UK_uksi_2017_1013,Conservation of Offshore Marine Habitats and Species Regulations,💚 WILDLIFE & COUNTRYSIDE,UK,uksi,making,1270,f,bms_import
b_needs_enrichment,UK_uksi_2018_1203,Trailer Registration Regulations,,UK,uksi,making,259,f,bms_import
b_needs_enrichment,UK_uksi_2018_139,Gas Safety (Installation and Use) (Amendment) Regulations,💙 OH&S: Gas & Electrical Safety,UK,uksi,making,21,f,bms_import
b_needs_enrichment,UK_uksi_2018_482,Ionising Radiation (Basic Safety Standards) (Miscellaneous Provisions) Regulations,💚 NUCLEAR & RADIOLOGICAL,,uksi,making,81,f,bms_import
b_needs_enrichment,UK_uksi_2018_506,Network and Information Systems Regulations,💙 PUBLIC: Data,UK,uksi,making,536,f,bms_import
b_needs_enrichment,UK_uksi_2018_623,Air Navigation (Amendment) Order,💙 TRANSPORT: Air Safety,UK,uksi,making,37,f,bms_import
b_needs_enrichment,UK_uksi_2019_1115,Air Navigation (Cosmic Radiation: Protection of Air Crew and Space Crew and Consequential Amendments) Order,💙 TRANSPORT: Air Safety,UK,uksi,making,278,f,bms_import
b_needs_enrichment,UK_wsi_2005_1806,Hazardous Waste (Wales) Regulations,💚 WASTE,E+W,wsi,making,652,f,bms_import
b_needs_enrichment,UK_wsi_2008_1081,Heather and Grass etc. Burning (Wales) Regulations,💚 WILDLIFE & COUNTRYSIDE,UK,wsi,uncertain,57,f,bms_import
b_needs_enrichment,UK_wsi_2009_995,Environmental Damage (Prevention and Remediation) (Wales) Regulations,💚 ENVIRONMENTAL PROTECTION,UK,wsi,making,254,f,bms_import
b_needs_enrichment,UK_wsi_2012_1085,Fire Safety (Employees' Capabilities) (Wales) Regulations,💙 FIRE,UK,wsi,not_making,6,f,enhesa_import
b_needs_enrichment,UK_wsi_2017_567,Town and Country Planning (Environmental Impact Assessment) (Wales) Regulations,💚 TOWN & COUNTRY PLANNING,E+W,wsi,making,715,f,enhesa_import
b_needs_enrichment,UK_wsi_2024_1268,Building (Registered Building Control Approvers etc.) (Wales) Regulations,💙 PUBLIC: Building Safety,E+W,wsi,making,325,f,enhesa_import
c_fitness_no_tree,UK_ukpga_1990_9,Planning (Listed Buildings and Conservation Areas) Act,💚 TOWN & COUNTRY PLANNING,E+W,ukpga,making,1068,t,enhesa_import
