bucket,law_name,title,family,geo_extent,detail,register_source
generic_code_gate,UK_ssi_2016_93,Scottish Landfill Tax (Qualifying Material) Order,💚 WASTE,UK,,enhesa_import
generic_code_gate,UK_uksi_1971_161,Clean Air (Measurement of Grit and Dust from Furnaces) Regulations,💚 AIR QUALITY,UK,,enhesa_import
generic_code_gate,UK_uksi_1999_1006,Anti-Pollution Works Regulations,💚 WATER & WASTEWATER,UK,,enhesa_import
generic_code_gate,UK_uksi_1999_1774,Wireless Telegraphy (Licence Charges) Regulations,,,,enhesa_import
generic_code_gate,UK_uksi_1999_916,Water Protection Zone (River Dee Catchment) (Procedural and Other Provisions) Regulations,💚 WATER & WASTEWATER,UK,,enhesa_import
generic_code_gate,UK_uksi_2008_2852,REACH Enforcement Regulations,💙 PUBLIC: Consumer / Product Safety,UK,,enhesa_import
generic_code_gate,UK_uksi_2009_3344,Eels (England and Wales) Regulations,💚 FISHERIES & FISHING,UK,,enhesa_import
generic_code_gate,UK_uksi_2012_2782,Feed-in Tariffs Order,💚 ENERGY,GB,,enhesa_import
generic_code_gate,UK_uksi_2015_168,Ozone-Depleting Substances Regulations,💚 ENVIRONMENTAL PROTECTION,UK,,enhesa_import
generic_code_gate,UK_wsi_2012_1903,Natural Resources Body for Wales (Establishment) Order,💚 ENVIRONMENTAL PROTECTION,E+W,,enhesa_import
gov_actor_gate,UK_asp_2005_13,"Smoking, Health and Social Care (Scotland) Act",💙 HEALTH: Public,S,,enhesa_import
gov_actor_gate,UK_asp_2021_4,UK Withdrawal from the European Union (Continuity) (Scotland) Act,,S,,enhesa_import
gov_actor_gate,UK_uksi_1992_2225,Notification of Cooling Towers and Evaporative Condensers Regulations,💙 OH&S: Occupational / Personal Safety,UK,,enhesa_import
gov_actor_gate,UK_uksi_2014_1643,Energy Savings Opportunity Scheme Regulations,💚 ENERGY,UK,,enhesa_import
gov_actor_gate,UK_uksi_2019_421,Alternative Fuel Labelling and Greenhouse Gas Emissions (Miscellaneous Amendments) Regulations,💚 CLIMATE CHANGE,UK,,enhesa_import
material_condition_miss,UK_eudr_1994_33,Council Directive 94/33/EC of 22 June 1994 on the protection of young people at work,💜 HR: Employment,UK,needs one of: employment_contract work,enhesa_import
material_condition_miss,UK_eur_2007_1516,"Commission Regulation (EC) No 1516/2007 of 19 December 2007 establishing, pursuant to Regulation (EC) No 842/2006 of the European Parliament and of the Council, standard leakage checking requirements for stationary refrigeration, air conditioning and heat pump equipment containing certain fluorinated greenhouse gases (Text with EEA relevance)",💚 CLIMATE CHANGE,UK,needs one of: heat_pump,enhesa_import
material_condition_miss,UK_eur_2015_2067,"Commission Implementing Regulation (EU) 2015/2067 of 17 November 2015 establishing, pursuant to Regulation (EU) No 517/2014 of the European Parliament and of the Council, minimum requirements and the conditions for mutual recognition for the certification of natural persons as regards stationary refrigeration, air conditioning and heat pump equipment, and refrigeration units of refrigerated trucks and trailers, containing fluorinated greenhouse gases and for the certification of companies as regards stationary refrigeration, air conditioning and heat pump equipment, containing fluorinated greenhouse gases (Text with EEA relevance)",💚 CLIMATE CHANGE,UK,needs one of: natural_person carrying_out_activities,enhesa_import
material_condition_miss,UK_ssi_2006_90,Prohibition of Smoking in Certain Premises (Scotland) Regulations,💙 HEALTH: Public,S,needs one of: council,enhesa_import
material_condition_miss,UK_ssi_2011_24,Storage of Carbon Dioxide (Licensing etc.) (Scotland) Regulations,💚 CLIMATE CHANGE,S,needs one of: updating_legislation,enhesa_import
material_condition_miss,UK_uksi_1958_498,Dark Smoke (Permitted Periods) Regulations,💚 AIR QUALITY,UK,needs one of: interpretation emissions emission,enhesa_import
material_condition_miss,UK_uksi_1977_500,Safety Representatives and Safety Committees Regulations,💙 OH&S: Occupational / Personal Safety,UK,needs one of: interpretation,enhesa_import
material_condition_miss,UK_uksi_2008_1911,Limited Liability Partnerships (Accounts and Audit) (Application of Companies Act 2006) Regulations,,UK,needs one of: llp,enhesa_import
material_condition_miss,UK_uksi_2008_410,Large and Medium-sized Companies and Groups (Accounts and Reports) Regulations,,UK,needs one of: company small llp,enhesa_import
material_condition_miss,UK_uksi_2012_2788,Greenhouse Gas Emissions Trading Scheme (Amendment) (Charging Schemes) Regulations,💚 CLIMATE CHANGE,UK,needs one of: greenhouse_gas,enhesa_import
multi_condition_miss,UK_eur_2007_1497,"Commission Regulation (EC) No 1497/2007 of 18 December 2007 establishing, pursuant to Regulation (EC) No 842/2006 of the European Parliament and of the Council, standard leakage checking requirements for stationary fire protection systems containing certain fluorinated greenhouse gases (Text with EEA relevance)",💚 CLIMATE CHANGE,UK,material: greenhouse_gas; territorial: installation,enhesa_import
territorial_condition_miss,UK_eudr_2003_59,"Directive 2003/59/EC of the European Parliament and of the Council of 15 July 2003 on the initial qualification and periodic training of drivers of certain road vehicles for the carriage of goods or passengers, amending Council Regulation (EEC) No 3820/85 and Council Directive 91/439/EEC and repealing Council Directive 76/914/EEC",💙 TRANSPORT: Road Safety,UK,needs one of: undertaking,enhesa_import
territorial_condition_miss,UK_eur_2006_166,Regulation (EC) No 166/2006 of the European Parliament and of the Council of 18 January 2006 concerning the establishment of a European Pollutant Release and Transfer Register and amending Council Directives 91/689/EEC and 96/61/EC (Text with EEA relevance),💚 POLLUTION,UK,needs one of: installation,enhesa_import
territorial_condition_miss,UK_eur_2015_2066,"Commission Implementing Regulation (EU) 2015/2066 of 17 November 2015 establishing, pursuant to Regulation (EU) No 517/2014 of the European Parliament and of the Council, minimum requirements and the conditions for mutual recognition for the certification of natural persons carrying out installation, servicing, maintenance, repair or decommissioning of electrical switchgear containing fluorinated greenhouse gases or recovery of fluorinated greenhouse gases from stationary electrical switchgear (Text with EEA relevance)",💚 CLIMATE CHANGE,UK,needs one of: installation undertaking,enhesa_import
