bucket,law_name,title,family,type_code,making_classification,making_confidence,making_review,signals_making,lat_count,has_fitness,has_tree,register_source,verdict
principal_candidate,UK_uksi_1990_1380,Health and Safety (Training for Employment) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,uncertain,0.69,,,8,t,t,bms_import,
principal_candidate,UK_uksi_1998_2913,Town and Country Planning (Minerals) (Scotland) Regulations,💚 TOWN & COUNTRY PLANNING,uksi,not_making,0.17,,,0,t,t,enhesa_import,
principal_candidate,UK_uksi_1998_3084,Water (Prevention of Pollution) (Code of Practice) Order,💚 WATER & WASTEWATER,uksi,not_making,0.17,,,6,f,f,bms_import,
principal_candidate,UK_uksi_1998_3111,Road Vehicles (Authorised Weight) Regulations,💙 TRANSPORT: Road Safety,uksi,not_making,0.12,,,18,t,t,enhesa_import,
principal_candidate,UK_uksi_2003_2426,Privacy and Electronic Communications (EC Directive) Regulations,💙 PUBLIC: Data,uksi,uncertain,0.34,,,0,f,f,bms_import,
principal_candidate,UK_uksi_2004_701,Water Industry (Prescribed Conditions) (Undertakers Wholly or Mainly in Wales) Regulations,💚 WATER & WASTEWATER,uksi,not_making,0.12,,,26,t,t,enhesa_import,
principal_candidate,UK_uksi_2005_1904,Passenger and Goods Vehicles (Recording Equipment) Regulations,💙 TRANSPORT: Road Safety,uksi,uncertain,0.34,making,t,43,t,t,enhesa_import,
principal_candidate,UK_uksi_2006_2950,Merchant Shipping (Prevention of Pollution by Sewage and Garbage) Order,💚 TRANSPORT: Harbours & Shipping,uksi,making,0.10,,t,21,t,t,enhesa_import,
principal_candidate,UK_uksi_2006_3368,Smoke-free (Premises and Enforcement) Regulations,💙 HEALTH: Public,uksi,making,0.48,,t,35,t,t,enhesa_import,
principal_candidate,UK_uksi_2007_1819,Community Drivers’ Hours and Recording Equipment Regulations,,uksi,not_making,0.17,,,0,f,f,bms_import,
principal_candidate,UK_uksi_2007_3100,Merchant Shipping and Fishing Vessels (Health and Safety at Work) (Carcinogens and Mutagens) Regulations,💙 TRANSPORT: Maritime Safety,uksi,uncertain,0.34,,,0,f,f,bms_import,
principal_candidate,UK_uksi_2007_765,Smoke-free (Exemptions and Vehicles) Regulations,💙 HEALTH: Public,uksi,not_making,0.61,,,98,t,t,enhesa_import,
principal_candidate,UK_uksi_2008_198,Passenger and Goods Vehicles (Recording Equipment) (Downloading and Retention of Data) Regulations,💙 TRANSPORT: Road Safety,uksi,uncertain,0.34,making,t,11,t,t,enhesa_import,
principal_candidate,UK_uksi_2009_1210,Merchant Shipping (Implementation of Ship-Source Pollution Directive) Regulations,💚 TRANSPORT: Harbours & Shipping,uksi,not_making,0.05,,,0,f,f,bms_import,
principal_candidate,UK_uksi_2009_716,Chemicals (Hazard Information and Packaging for Supply) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,not_making,0.17,,,0,f,f,bms_import,
principal_candidate,UK_uksi_2014_2366,Smoke Control Areas (Authorised Fuels) (England) (No. 2) Regulations,💚 AIR QUALITY,uksi,not_making,0.07,,,13,t,t,enhesa_import,
principal_candidate,UK_uksi_2014_2868,Drug Driving (Specified Limits) (England and Wales) Regulations,💙 TRANSPORT: Road Safety,uksi,not_making,0.12,making,t,6,t,t,enhesa_import,
principal_candidate,UK_uksi_2015_307,Smoke Control Areas (Exempted Fireplaces) (England) Order,💚 AIR QUALITY,uksi,not_making,0.12,,,9,t,t,enhesa_import,
principal_candidate,UK_uksi_2016_1245,"Companies, Partnerships and Groups (Accounts and Non-Financial Reporting) Regulations",💚 CLIMATE CHANGE,uksi,not_making,0.17,making,t,23,t,t,enhesa_import,
principal_candidate,UK_uksi_2016_334,Unauthorised Deposit of Waste (Fixed Penalties) Regulations,💚 WASTE,uksi,not_making,0.12,,,0,t,t,enhesa_import,
principal_candidate,UK_uksi_2017_1206,Radio Equipment Regulations,💙 PUBLIC: Consumer / Product Safety,uksi,uncertain,0.46,,,0,f,f,bms_import,
principal_candidate,UK_uksi_2018_1155,Companies (Directors’ Report) and Limited Liability Partnerships (Energy and Carbon Report) Regulations,💚 CLIMATE CHANGE,uksi,uncertain,0.41,,,149,f,f,bms_import,
principal_candidate,UK_uksi_2018_24,Community Drivers’ Hours Offences (Enforcement) Regulations,💙 TRANSPORT: Road Safety,uksi,uncertain,0.34,making,t,52,t,t,enhesa_import,
principal_candidate,UK_uksi_2019_1420,Firearms Regulations,💙 PUBLIC,uksi,not_making,0.12,,,0,f,f,bms_import,
principal_candidate,UK_uksi_2024_1079,Access to the Countryside (Coastal Margin) (Marsland Mouth to Newquay) (No. 1) Order,💚 WILDLIFE & COUNTRYSIDE,uksi,not_making,0.12,,,0,t,t,enhesa_import,
principal_candidate,UK_uksi_2024_666,Separation of Waste (England) Regulations,💚 WASTE,uksi,,,,,26,t,t,enhesa_import,
principal_candidate,UK_uksi_2025_140,Separation of Waste (England) Regulations,💚 WASTE,uksi,not_making,0.12,,,30,t,t,enhesa_import,
principal_candidate,UK_uksro_1947_805,Compressed Acetylene Order,,uksro,,,,,0,f,f,enhesa_import,
principal_candidate,UK_wsi_2011_971,Waste (Miscellaneous Provisions) (Wales) Regulations,💚 WASTE,wsi,,,,,12,t,t,enhesa_import,
principal_candidate,UK_wsi_2020_1489,Personal Protective Equipment (Temporary Arrangements) (Coronavirus) (Wales) Regulations,💙 HEALTH: Coronavirus,wsi,not_making,0.12,,,42,t,t,enhesa_import,
procedural_by_title,UK_ssi_2004_112,Special Waste Amendment (Scotland) Regulations,💚 WASTE,ssi,,,,,24,t,t,enhesa_import,
procedural_by_title,UK_ssi_2004_204,Special Waste Amendment (Scotland) Amendment Regulations,💚 WASTE,ssi,not_making,0.02,,,0,f,f,bms_import,
procedural_by_title,UK_ssi_2005_52,Waste and Emissions Trading Act 2003 (Commencement) (Scotland) Order,💚 WASTE,ssi,,,,,7,t,t,enhesa_import,
procedural_by_title,UK_ssi_2006_181,Water Environment (Consequential and Savings Provisions) (Scotland) Order,💚 WATER & WASTEWATER,ssi,,,,,8,t,t,enhesa_import,
procedural_by_title,UK_ssi_2009_202,Radioactive Contaminated Land (Scotland) Amendment Regulations,💚 NUCLEAR & RADIOLOGICAL,ssi,,,,,0,f,f,bms_import,
procedural_by_title,UK_ssi_2009_9,Public Health etc. (Scotland) Act 2008 (Commencement No. 1) Order,,ssi,,,,,0,f,f,bms_import,
procedural_by_title,UK_ssi_2011_207,Radioactive Substances Act 1993 Amendment (Scotland) Regulations,💚 NUCLEAR & RADIOLOGICAL,ssi,,,,,0,f,f,bms_import,
procedural_by_title,UK_ssi_2015_188,Waste (Meaning of Hazardous Waste and European Waste Catalogue) (Miscellaneous Amendments) (Scotland) Regulations,💚 WASTE,ssi,,,,,20,t,t,enhesa_import,
procedural_by_title,UK_ssi_2015_214,Environmental Liability (Scotland) Amendment Regulations,💚 ENVIRONMENTAL PROTECTION,ssi,not_making,0.17,,,17,t,t,enhesa_import,
procedural_by_title,UK_ssi_2016_292,Smoke Control Areas (Exempted Fireplaces) (Scotland) Revocation Order,💚 AIR QUALITY,ssi,not_making,0.12,,,0,t,t,enhesa_import,
procedural_by_title,UK_ssi_2016_293,Smoke Control Areas (Authorised Fuels) (Scotland) Revocation Regulations,💚 AIR QUALITY,ssi,not_making,0.12,,,0,t,t,enhesa_import,
procedural_by_title,UK_ssi_2024_139,Water Supply (Water Fittings) (Scotland) Byelaws Extension Order,💚 WATER & WASTEWATER,ssi,not_making,0.12,,,0,t,t,enhesa_import,
procedural_by_title,UK_ssi_2026_49,Town and Country Planning (Fees for Applications) (Scotland) Amendment Regulations,💚 TOWN & COUNTRY PLANNING,ssi,not_making,0.17,not_making,,26,t,t,enhesa_import,
procedural_by_title,UK_uksi_1971_818,Driver's Hours (Passenger and Goods Vehicles) (Modifications) Order,💙 TRANSPORT: Road Safety,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_1986_2128,Passenger and Goods Vehicles (Recording Equipment) (Approval of fitters and workshops) (Fees) Regulations,💙 TRANSPORT: Road Safety,uksi,not_making,0.12,,,8,f,f,enhesa_import,
procedural_by_title,UK_uksi_1993_1490,Firearms (Dangerous Air Weapons) (Amendment) Rules,💙 PUBLIC,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_1993_1541,Firearms (Dangerous Air Weapons) (Scotland) Amendment Rules,💙 PUBLIC,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_1993_566,Controlled Waste (Amendment) Regulations,💚 WASTE,uksi,not_making,0.01,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_1993_745,Health and Safety (Miscellaneous Modifications) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_1995_2923,Health and Safety Information for Employees (Modifications and Repeals) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_1996_3016,Road Vehicles Lighting (Amendment) Regulations,💙 TRANSPORT: Road Safety,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_1999_1506,Water Supply (Water Fittings) (Amendment) Regulations,💚 WATER & WASTEWATER,uksi,,,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2002_2174,Health and Safety (Miscellaneous Amendments) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,not_making,0.34,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2003_1684,Working Time (Amendment) Regulations,💜 HR: Working Time,uksi,,,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2003_1690,Road Vehicles (Construction and Use) (Amendment) (No. 2) Regulations,💙 TRANSPORT: Road Safety,uksi,not_making,0.17,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2004_2304,Fire and Rescue Services Act 2004 (Commencement) (England and Scotland) Order,💙 FIRE,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2004_2516,Working Time Regulations 1998 (Amendment) Regulations,💜 HR: Working Time,uksi,,,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2004_2736,Town and Country Planning (Fees for Applications and Deemed Applications) (Amendment) (Wales) Regulations,💚 TOWN & COUNTRY PLANNING,uksi,not_making,0.12,not_making,,20,t,t,enhesa_import,
procedural_by_title,UK_uksi_2004_2882,Employers' Liability (Compulsory Insurance) (Amendment) Regulations,💜 HR: Insurance / Compensation / Wages / Benefits,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2004_3386,Control of Substances Hazardous to Health (Amendment) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2004_827,Railways and Transport Safety Act 2003 (Commencement No. 2) Order,💙 TRANSPORT: Rail Safety,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2006_2988,Radioactive Contaminated Land (Modification of Enactments) (Wales) Regulations,💚 ENVIRONMENTAL PROTECTION,uksi,uncertain,0.34,,,83,t,t,enhesa_import,
procedural_by_title,UK_uksi_2007_2079,Working Time (Amendment) Regulations,💜 HR: Working Time,uksi,,,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2007_237,Road Safety Act 2006 (Commencement No. 1) Order,,uksi,,,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2007_2472,Road Safety Act 2006 (Commencement No. 2) Order,,uksi,,,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2007_3159,Air Navigation (Dangerous Goods) (Amendment) (No. 2) Regulations,,uksi,,,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2008_1765,Employers’ Liability (Compulsory Insurance) (Amendment) Regulations,💜 HR: Insurance / Compensation / Wages / Benefits,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2008_2165,Merchant Shipping and Fishing Vessels (Provision and Use of Work Equipment) (Amendment) Regulations,💙 TRANSPORT: Maritime Safety,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2008_2166,Merchant Shipping and Fishing Vessels (Lifting Operations and Lifting Equipment) (Amendment) Regulations,💙 TRANSPORT: Maritime Safety,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2009_2438,"Conservation (Natural Habitats, &amp;c.) (Amendment) (No. 2) Regulations",💚 WILDLIFE & COUNTRYSIDE,uksi,,,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2009_507,Hazardous Waste (England and Wales) (Amendment) Regulations,💚 WASTE,uksi,,,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2009_606,Health and Safety Information for Employees (Amendment) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2009_693,Health and Safety (Miscellaneous Amendments and Revocations) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2010_1759,Firearms (Amendment) Regulations,,uksi,not_making,0.02,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2010_2145,Radioactive Contaminated Land Regulations (Northern Ireland) (Amendment) Regulations,💚 NUCLEAR & RADIOLOGICAL,uksi,not_making,0.01,,,0,f,f,enhesa_import,
procedural_by_title,UK_uksi_2012_1139,Batteries and Accumulators (Placing on the Market) (Amendment) Regulations,💚 WASTE,uksi,not_making,0.07,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2012_1537,Health and Safety (Miscellaneous Revocations) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2013_1945,Firearms (Amendment) Rules,,uksi,,,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2013_448,"Health and Safety (Miscellaneous Repeals, Revocations and Amendments) Regulations",💙 OH&S: Occupational / Personal Safety,uksi,not_making,0.17,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2014_1239,Firearms (Amendment) Rules,💙 PUBLIC,uksi,not_making,0.17,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2014_3277,"Misuse of Drugs (Amendment No. 3) (England, Wales and Scotland) Regulations",💙 HEALTH: Drug & Medicine Safety,uksi,,,,,12,t,t,enhesa_import,
procedural_by_title,UK_uksi_2014_486,Health and Safety (Miscellaneous Repeals and Revocations) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2014_495,CRC Energy Efficiency Scheme (Allocation of Allowances for Payment) (Amendment) Regulations,💚 CLIMATE CHANGE,uksi,not_making,0.05,,,0,t,t,enhesa_import,
procedural_by_title,UK_uksi_2014_549,"Enterprise and Regulatory Reform Act 2013 (Competition) (Consequential, Transitional and Saving Provisions) (No. 2) Order",,uksi,,,,,25,t,t,enhesa_import,
procedural_by_title,UK_uksi_2015_1360,Hazardous Waste (Miscellaneous Amendments) Regulations,💚 WASTE,uksi,,,,,49,t,t,enhesa_import,
procedural_by_title,UK_uksi_2015_1393,Control of Major Accident Hazards (Amendment) Regulations,💙 OH&S: Occupational / Personal Safety,uksi,not_making,0.05,,,5,t,t,enhesa_import,
procedural_by_title,UK_uksi_2015_142,Road Vehicles (Construction and Use) (Amendment) Regulations,💙 TRANSPORT: Road Safety,uksi,uncertain,0.34,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2015_1653,"Motor Vehicles (Variation of Speed Limits for Naval, Military and Air Force Vehicles) (England and Wales) Regulations",,uksi,not_making,0.17,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2016_336,Hazardous Waste (England and Wales) (Amendment) Regulations,💚 WASTE,uksi,,,,,25,t,t,enhesa_import,
procedural_by_title,UK_uksi_2016_660,Energy Efficiency (Private Rented Property) (England and Wales) (Amendment) Regulations,💚 CLIMATE CHANGE,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2017_1177,Environmental Damage (Prevention and Remediation) (England) (Amendment) Regulations,💚 ENVIRONMENTAL PROTECTION,uksi,making,0.17,,t,25,t,t,enhesa_import,
procedural_by_title,UK_uksi_2017_81,Noise from Audible Intruder Alarms (Wales) (Revocation) and Control of Noise (Codes of Practice for Construction and Open Sites) (Wales) Order,💙 HEALTH: Public,uksi,not_making,0.12,,,11,t,t,enhesa_import,
procedural_by_title,UK_uksi_2018_1214,Waste Electrical and Electronic Equipment (Amendment) (No. 2) Regulations,💚 WASTE,uksi,uncertain,0.36,,,65,f,f,bms_import,
procedural_by_title,UK_uksi_2018_1227,Environmental Protection (Miscellaneous Amendments) (England and Wales) Regulations,💚 ENVIRONMENTAL PROTECTION,uksi,not_making,0.17,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2018_841,CRC Energy Efficiency Scheme (Revocation and Savings) Order,💚 CLIMATE CHANGE,uksi,not_making,0.12,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2019_1169,Firearms (Fees) Regulations,💙 PUBLIC,uksi,uncertain,0.68,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2019_24,Ionising Radiation (Environmental and Public Protection) (Miscellaneous Amendments) (EU Exit) Regulations,💚 NUCLEAR & RADIOLOGICAL,uksi,not_making,0.03,,,0,f,f,bms_import,
procedural_by_title,UK_uksi_2021_1315,Environmental Authorisations (Scotland) Regulations 2018 (Consequential Modifications) Order,,uksi,,,,,12,t,t,enhesa_import,
