law_name,title,family,material_codes,suspect_codes
UK_uksi_2015_168,Ozone-Depleting Substances Regulations,💚 ENVIRONMENTAL PROTECTION,body_corporate,body_corporate
UK_uksi_2015_310,Fluorinated Greenhouse Gases Regulations,💚 CLIMATE CHANGE,body_corporate revenue_and_customs,body_corporate
UK_uksi_2015_595,Town and Country Planning (Development Management Procedure) (England) Order,💚 TOWN & COUNTRY PLANNING,application area building development land planning planning_permission recipient,application area building development land planning planning_permission recipient
UK_uksi_2015_596,Town and Country Planning (General Permitted Development) (England) Order,💚 TOWN & COUNTRY PLANNING,development land planning_permission recipient,development land planning_permission recipient
UK_uksi_2016_359,Water Resources (Control of Pollution) (Oil Storage) (Wales) Regulations,💚 WATER & WASTEWATER,container delivery storage_of_explosives,
UK_uksi_2016_618,Private Water Supplies (England) Regulations,💚 WATER & WASTEWATER,magistrates'_court water_industry,
UK_uksi_2017_530,Town and Country Planning (Enforcement Notices and Appeals) (Wales) Regulations,💚 TOWN & COUNTRY PLANNING,recipient,recipient
UK_uksi_2017_572,Infrastructure Planning (Environmental Impact Assessment) Regulations,💚 PLANNING & INFRASTRUCTURE,application development_consent environmental_impact_assessment,application
UK_uksi_2018_506,Network and Information Systems Regulations,💙 PUBLIC: Data,digital_services network,
UK_uksi_2020_971,"Environmental Protection (Plastic Straws, Cotton Buds and Stirrers) (England) Re",💚 ENVIRONMENTAL PROTECTION,enforcement,enforcement
UK_uksi_2021_746,Town and Country Planning (Development Management Procedure and Section 62A Appl,💚 TOWN & COUNTRY PLANNING,planning_permission,planning_permission
UK_uksi_2022_547,Fire Safety (England) Regulations,💙 FIRE,building,building
UK_uksi_2023_753,Building Safety (Responsible Actors Scheme and Prohibitions) Regulations,💙 PUBLIC: Building Safety,applicable building dwelling land person,building land person
UK_uksi_2023_982,Environmental Protection (Plastic Plates etc. and Polystyrene Containers etc.) (,💚 ENVIRONMENTAL PROTECTION,enforcement,enforcement
UK_uksi_2024_46,Biodiversity Gain Site Register (Financial Penalties and Fees) Regulations,💚 WILDLIFE & COUNTRYSIDE,biodiversity,
UK_uksi_2024_48,Biodiversity Gain Requirements (Irreplaceable Habitat) Regulations,💚 WILDLIFE & COUNTRYSIDE,planning_permission,planning_permission
UK_wsi_2012_1903,Natural Resources Body for Wales (Establishment) Order,💚 ENVIRONMENTAL PROTECTION,application exercise_of_a_function land,application land
UK_wsi_2016_359,Water Resources (Control of Pollution) (Oil Storage) (Wales) Regulations,💚 WATER & WASTEWATER,container delivery_pump flexible_pipe leakage_detection_device oil pipe regulation_6(4) regulations sanctions tank,regulations
UK_wsi_2017_544,Town and Country Planning (Referred Applications and Appeals Procedure) (Wales) ,💚 TOWN & COUNTRY PLANNING,application building enforcement land recipient,application building enforcement land recipient
UK_wsi_2017_567,Town and Country Planning (Environmental Impact Assessment) (Wales) Regulations,💚 TOWN & COUNTRY PLANNING,appellant development land planning_permission,development land planning_permission
UK_wsi_2024_1268,Building (Registered Building Control Approvers etc.) (Wales) Regulations,💙 PUBLIC: Building Safety,2010_regulations building building_work,building
