bucket,law_name,title,family,geo_extent,type_code,ni_law,detail,tier,confidence,matched_dimensions,caveats
register_gap_or_overmatch,UK_nisr_2006_1,Control of Noise at Work Regulations (Northern Ireland),💙 OH&S: Occupational / Personal Safety,NI,nisr,t,conditional:at_work personal:employer personal:employee territorial:territorial_sea territorial:premises territorial:aircraft,strong,1.0,conditional/personal/territorial,
register_gap_or_overmatch,UK_nisr_2006_205,Quarries Regulations (Northern Ireland),💙 OH&S: Mines & Quarries,NI,nisr,t,conditional:at_work personal:person_at_work personal:employer,strong,0.8,conditional/personal,
register_gap_or_overmatch,UK_nisr_2006_425,Manufacture and Storage of Explosives Regulations (Northern Ireland),💙 FIRE: Dangerous and Explosive Substances,NI,nisr,t,material:explosives material:carriage_of_goods,strong,1.0,material,
register_gap_or_overmatch,UK_nisr_2015_325,Control of Major Accident Hazards Regulations (Northern Ireland),💙 OH&S: Occupational / Personal Safety,NI,nisr,t,material:dangerous_substances material:substances territorial:establishment personal:operator,strong,1.0,material/personal/territorial,
register_gap_or_overmatch,UK_nisr_2015_388,Storage of Carbon Dioxide (Access to Infrastructure) Regulations (Northern Ireland),💚 CLIMATE CHANGE,NI,nisr,t,material:explosives,probable,0.7,material,
register_gap_or_overmatch,UK_nisr_2016_427,Mines Regulations (Northern Ireland),💙 OH&S: Mines & Quarries,NI,nisr,t,material:construction_work territorial:workplace personal:operator territorial:premises material:vehicle,strong,1.0,material/personal/territorial,
register_gap_or_overmatch,UK_nisr_2017_90,Equipment and Protective Systems Intended for Use in Potentially Explosive Atmospheres Regulations (Northern Ireland),💙 FIRE: Dangerous and Explosive Substances,NI,nisr,t,personal:person_at_work personal:worker material:explosives,strong,1.0,material/personal,
register_gap_or_overmatch,UK_ssi_2011_57,Marine Licensing (Exempted Activities) (Scottish Offshore Region) Order 2011,💚 MARINE & RIVERINE,S,ssi,,territorial:aircraft material:substances material:chemicals material:fire material:vehicle material:vessel,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_ssi_2026_145,Digital Waste Tracking (Scotland) Regulations,💚 ENVIRONMENTAL PROTECTION,UK,ssi,,material:construction_work material:waste territorial:scotland,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_ukpga_1969_37,Employer’s Liability (Defective Equipment) Act,💙 OH&S: Occupational / Personal Safety,GB,ukpga,,material:explosives,strong,1.0,material,
register_gap_or_overmatch,UK_ukpga_1972_28,Employment Medical Advisory Service Act,💙 OH&S: Occupational / Personal Safety,GB,ukpga,,personal:occupier territorial:scotland,probable,0.7,personal/territorial,
register_gap_or_overmatch,UK_ukpga_1978_3,Refuse Disposal (Amenity) Act,💚 WASTE,GB,ukpga,,material:vehicle territorial:scotland,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_ukpga_1980_45,Water (Scotland) Act,💚 WATER & WASTEWATER,S,ukpga,,territorial:scotland territorial:premises material:lead,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_ukpga_1981_29,Fisheries Act,💚 FISHERIES & FISHING,UK,ukpga,,territorial:great_britain territorial:scotland material:vehicle,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_ukpga_1986_62,Salmon Act,💚 FISHERIES & FISHING,UK,ukpga,,territorial:scotland material:vehicle territorial:premises territorial:england territorial:wales,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_ukpga_1989_15,Water Act,💚 WATER & WASTEWATER,UK,ukpga,,territorial:scotland territorial:territorial_sea territorial:england conditional:at_work territorial:great_britain territorial:wales territorial:united_kingdom,strong,1.0,conditional/territorial,
register_gap_or_overmatch,UK_ukpga_1991_34,Planning and Compensation Act,💚 PLANNING & INFRASTRUCTURE,UK,ukpga,,material:waste material:substances territorial:scotland territorial:england territorial:wales,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_ukpga_1992_15,Offshore Safety Act,💙 OH&S: Offshore Safety,UK,ukpga,,material:explosives territorial:great_britain territorial:united_kingdom territorial:territorial_sea material:petroleum,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_ukpga_2017_20,Neighbourhood Planning Act,💚 PLANNING & INFRASTRUCTURE,UK,ukpga,,material:substances territorial:england territorial:wales territorial:scotland,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_ukpga_2026_6,Biodiversity Beyond National Jurisdiction Act,💚 WILDLIFE & COUNTRYSIDE,UK,ukpga,,material:construction_work territorial:united_kingdom territorial:scotland territorial:england territorial:wales,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_uksi_1988_1324,Furniture and Furnishings (Fire) (Safety) Regulations,💙 PUBLIC: Consumer / Product Safety,UK,uksi,,personal:manufacturer personal:importer territorial:united_kingdom,strong,1.0,personal/territorial,
register_gap_or_overmatch,UK_uksi_1988_370,International Carriage of Dangerous Goods by Road (Fees) Regulations,💙 TRANSPORT: Road Safety,UK,uksi,,material:vehicle material:carriage_of_goods material:dangerous_goods,strong,1.0,material,
register_gap_or_overmatch,UK_uksi_1994_1768,Plugs and Sockets etc. (Safety) Regulations,💙 PUBLIC: Consumer / Product Safety,UK,uksi,,material:electrical_equipment personal:manufacturer personal:importer territorial:united_kingdom,strong,1.0,material/personal/territorial,
register_gap_or_overmatch,UK_uksi_1995_738,Offshore Installations and Pipeline Works (Management and Administration) Regulations,💙 OH&S: Offshore Safety,UK,uksi,,conditional:at_work territorial:great_britain,possible,0.412,conditional/territorial,
register_gap_or_overmatch,UK_uksi_1996_2925,Cosmetic Products (Safety) Regulations,💙 PUBLIC: Consumer / Product Safety,UK,uksi,,personal:manufacturer personal:importer territorial:united_kingdom,probable,0.75,personal/territorial,
register_gap_or_overmatch,UK_uksi_1996_2971,"Control of Pollution (Applications, Appeals and Registers) Regulations",💚 WATER & WASTEWATER,UK,uksi,,material:substances,strong,1.0,material,
register_gap_or_overmatch,UK_uksi_1999_1054,Non-Road Mobile Machinery (Type Approval) (Fees) Regulations,💚 AIR QUALITY,UK,uksi,,material:vehicle,strong,1.0,material,
register_gap_or_overmatch,UK_uksi_1999_2024,Quarries Regulations,💙 OH&S: Mines & Quarries,GB,uksi,,personal:person_at_work personal:employer,strong,0.8,personal,
register_gap_or_overmatch,UK_uksi_2002_1355,Offshore Chemicals Regulations,💚 POLLUTION,UK,uksi,,material:substances territorial:scotland personal:operator territorial:united_kingdom territorial:territorial_sea territorial:england territorial:wales,strong,1.0,material/personal/territorial,
register_gap_or_overmatch,UK_uksi_2005_2055,Offshore Petroleum Activities (Oil Pollution Prevention and Control) Regulations,💚 OIL & GAS - OFFSHORE - PETROLEUM,UK,uksi,,personal:operator territorial:england territorial:wales territorial:scotland,strong,0.85,personal/territorial,
register_gap_or_overmatch,UK_uksi_2005_3117,Offshore Installations (Safety Case) Regulations,💙 OH&S: Offshore Safety,UK,uksi,,personal:worker,strong,1.0,personal,
register_gap_or_overmatch,UK_uksi_2010_2564,Controlled Drugs (Drug Precursors) (Intra-Community Trade and Community External Trade) Regulations,💙 HEALTH: Drug & Medicine Safety,UK,uksi,,material:substances personal:operator,strong,1.0,material/personal,
register_gap_or_overmatch,UK_uksi_2010_2617,Ecodesign for Energy-Related Products Regulations,💚 CLIMATE CHANGE,UK,uksi,,personal:manufacturer,strong,1.0,personal,
register_gap_or_overmatch,UK_uksi_2011_409,Marine Licensing (Exempted Activities) Order,💚 MARINE & RIVERINE,UK,uksi,,material:chemicals material:waste territorial:ship material:substances territorial:aircraft material:vessel material:fire material:vehicle,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_uksi_2012_1976,Climate Change Agreements (Administration) Regulations,💚 CLIMATE CHANGE,UK,uksi,,personal:operator,strong,1.0,personal,
register_gap_or_overmatch,UK_uksi_2014_3248,Mines Regulations,💙 OH&S: Mines & Quarries,GB,uksi,,conditional:at_work personal:person_at_work territorial:workplace territorial:ship personal:operator territorial:premises material:vehicle,strong,1.0,conditional/material/personal/territorial,
register_gap_or_overmatch,UK_uksi_2015_398,Offshore Installations (Offshore Safety Directive) (Safety Case etc.) Regulations,💙 OH&S: Offshore Safety,UK,uksi,,personal:operator,probable,0.7,personal,
register_gap_or_overmatch,UK_uksi_2015_966,Control of Poisons and Explosives Precursors Regulations,💙 FIRE: Dangerous and Explosive Substances,GB,uksi,,material:substances territorial:united_kingdom,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_uksi_2016_614,Water Supply (Water Quality) Regulations,💚 WATER & WASTEWATER,E+W,uksi,,territorial:establishment material:radioactive material:lead,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_uksi_2017_325,Freight Containers (Safety Convention) Regulations,💙 TRANSPORT: Road Safety,UK,uksi,,conditional:at_work territorial:great_britain,probable,0.525,conditional/territorial,
register_gap_or_overmatch,UK_uksi_2017_407,Water Environment (Water Framework Directive) (England and Wales) Regulations,💚 WATER & WASTEWATER,E+W,uksi,,territorial:wales territorial:establishment material:substances territorial:england,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_uksi_2017_567,Town and Country Planning (Environmental Impact Assessment) (Wales) Regulations,💚 TOWN & COUNTRY PLANNING,E+W,uksi,,territorial:wales material:construction_work,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_uksi_2018_390,Personal Protective Equipment (Enforcement) Regulations,💙 PUBLIC: Consumer / Product Safety,UK,uksi,,personal:manufacturer,strong,1.0,personal,
register_gap_or_overmatch,UK_uksi_2018_647,Water Supply (Water Quality) Regulations,💚 WATER & WASTEWATER,E+W,uksi,,material:construction_work,strong,1.0,material,
register_gap_or_overmatch,UK_uksi_2018_798,Offshore Combustion Installations (Pollution Prevention and Control) (Amendment) Regulations,💚 POLLUTION,UK,uksi,,personal:operator,probable,0.7,personal,
register_gap_or_overmatch,UK_uksi_2021_511,Greenhouse Gas Emissions (Kyoto Protocol Registry) Regulations,💚 CLIMATE CHANGE,UK,uksi,,personal:operator territorial:united_kingdom,probable,0.75,personal/territorial,
register_gap_or_overmatch,UK_uksi_2023_341,Environment (Local Nature Recovery Strategies) (Procedure) Regulations,💚 WILDLIFE & COUNTRYSIDE,UK,uksi,,material:construction_work territorial:england territorial:wales,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_uksi_2026_186,Town and Country Planning (Local Planning) (England) Regulations,💚 TOWN & COUNTRY PLANNING,UK,uksi,,material:waste territorial:england territorial:wales material:construction_work,strong,1.0,material/territorial,
register_gap_or_overmatch,UK_uksi_2026_194,Merchant Shipping (International Safety Management (ISM) Code) Regulations,💙 TRANSPORT: Maritime Safety,UK,uksi,,territorial:england territorial:wales territorial:scotland material:construction_work territorial:ship,strong,1.0,material/territorial,
register_says_no,UK_ukpga_2003_33,Waste and Emissions Trading Act,💚 WASTE,UK,ukpga,,,strong,1.0,material/territorial,
register_says_no,UK_ukpga_2008_32,Energy Act,💚 ENERGY,UK,ukpga,,,strong,0.85,territorial,
register_says_no,UK_uksi_2001_7,Climate Change Levy (Registration and Miscellaneous Provisions) Regulations,💚 CLIMATE CHANGE,UK,uksi,,,probable,0.6,territorial,time window … to 2001-01-29
register_says_no,UK_uksi_2012_3038,Greenhouse Gas Emissions Trading Scheme Regulations,💚 CLIMATE CHANGE,UK,uksi,,,strong,1.0,personal/territorial,
register_says_no,UK_uksi_2017_841,Water Infrastructure Adoption (Prescribed Water Fittings Requirements) (England) Regulations,💚 WATER & WASTEWATER,E+W,uksi,,,strong,1.0,territorial,
register_says_no,UK_uksi_2020_1265,Greenhouse Gas Emissions Trading Scheme Order,💚 CLIMATE CHANGE,UK,uksi,,,strong,1.0,material/personal/territorial,
register_says_no,UK_uksi_2021_484,Greenhouse Gas Emissions Trading Scheme Auctioning Regulations,💚 CLIMATE CHANGE,UK,uksi,,,strong,1.0,material,
register_says_no,UK_uksi_2021_534,Air Navigation (Carbon Offsetting and Reduction Scheme for International Aviation) Order,💚 CLIMATE CHANGE,UK,uksi,,,strong,1.0,personal,
soft_disapplication,UK_nia_2013_10,Marine Act (Northern Ireland),💚 MARINE & RIVERINE,NI,nia,t,may be disapplied: territorial:territorial_sea,probable,0.525,territorial,may be disapplied: territorial:territorial_sea
soft_disapplication,UK_nisr_1996_228,"Offshore Installations and Wells (Design and Construction, etc.) Regulations (Northern Ireland)",💙 OH&S: Offshore Safety,UK,nisr,t,may be disapplied: personal:worker; may be disapplied: territorial:workplace,probable,0.6,territorial,may be disapplied: personal:worker; may be disapplied: territorial:workplace
soft_disapplication,UK_nisr_1996_262,Marking of Plastic Explosive for Detection Regulations (Northern Ireland),💙 FIRE: Dangerous and Explosive Substances,UK,nisr,t,may be disapplied: material:explosives,probable,0.6,,may be disapplied: material:explosives
soft_disapplication,UK_nisr_1999_13,Confined Spaces Regulations (Northern Ireland),💙 OH&S: Occupational / Personal Safety,NI,nisr,t,may be disapplied: material:diving_operations; may be disapplied: personal:employer; may be disapplied: territorial:ship; may be disapplied: territorial:aircraft,probable,0.6,territorial,may be disapplied: material:diving_operations; may be disapplied: personal:employer; may be disapplied: territorial:ship; may be disapplied: territorial:aircraft
soft_disapplication,UK_nisr_2010_160,Carriage of Dangerous Goods and Use of Transportable Pressure Equipment Regulations (Northern Ireland),💙 OH&S: Occupational / Personal Safety,NI,nisr,t,"may be disapplied: material:vehicle; may be disapplied: personal:employer,employee; may be disapplied: personal:worker",probable,0.6,material/territorial,"may be disapplied: material:vehicle; may be disapplied: personal:employer,employee; may be disapplied: personal:worker"
soft_disapplication,UK_nisr_2010_325,Fire Safety Regulations (Northern Ireland),💙 FIRE,NI,nisr,t,may be disapplied: material:explosives; may be disapplied: personal:worker,probable,0.6,material/personal/territorial,may be disapplied: material:explosives; may be disapplied: personal:worker
soft_disapplication,UK_nisr_2010_59,Carriage of Explosives Regulations (Northern Ireland),💙 FIRE: Dangerous and Explosive Substances,NI,nisr,t,may be disapplied: material:vehicle; may be disapplied: material:construction_work; time window … to 2010-11-04,probable,0.6,material/territorial,may be disapplied: material:vehicle; may be disapplied: material:construction_work; time window … to 2010-11-04
soft_disapplication,UK_nisr_2014_224,Control of Explosives Precursors etc. Regulations (Northern Ireland),💙 FIRE: Dangerous and Explosive Substances,NI,nisr,t,"may be disapplied: personal:person_at_work,worker",probable,0.6,material/territorial,"may be disapplied: personal:person_at_work,worker"
soft_disapplication,UK_nisr_2015_236,Explosives (Appointment of Authorities and Enforcement) Regulations (Northern Ireland),💙 FIRE: Dangerous and Explosive Substances,NI,nisr,t,may be disapplied: material:explosives; may be disapplied: material:substances,probable,0.6,territorial,may be disapplied: material:explosives; may be disapplied: material:substances
soft_disapplication,UK_nisr_2016_146,Construction (Design and Management) Regulations (Northern Ireland),💙 OH&S: Occupational / Personal Safety,NI,nisr,t,may be disapplied: material:explosives; may be disapplied: personal:client,probable,0.6,material/territorial,may be disapplied: material:explosives; may be disapplied: personal:client
soft_disapplication,UK_nisr_2016_266,Control of Electromagnetic Fields at Work Regulations (Northern Ireland),💙 OH&S: Gas & Electrical Safety,UK,nisr,t,may be disapplied: material:explosives; may be disapplied: personal:employee,probable,0.6,material/territorial,may be disapplied: material:explosives; may be disapplied: personal:employee
soft_disapplication,UK_ssi_2026_75,Environmental Protection (Wet Wipes Containing Plastic) (Scotland) Regulations,💚 ENVIRONMENTAL PROTECTION,UK,ssi,,may be disapplied: material:construction_work; time window 2027-08-11 to …,probable,0.6,territorial,may be disapplied: material:construction_work; time window 2027-08-11 to …
soft_disapplication,UK_ukpga_1965_57,Nuclear Installations Act,💚 NUCLEAR & RADIOLOGICAL,UK,ukpga,,"may be disapplied: territorial:ship,aircraft; may be disapplied: material:vehicle",probable,0.6,conditional/material/personal/territorial,"may be disapplied: territorial:ship,aircraft; may be disapplied: material:vehicle"
soft_disapplication,UK_ukpga_1971_60,Prevention of Oil Pollution Act,💚 POLLUTION,UK,ukpga,,may be disapplied: territorial:scotland,probable,0.6,material/personal/territorial,may be disapplied: territorial:scotland
soft_disapplication,UK_ukpga_1987_43,Consumer Protection Act,💙 PUBLIC: Consumer / Product Safety,UK,ukpga,,may be disapplied: material:producer,probable,0.6,conditional/material/territorial,may be disapplied: material:producer
soft_disapplication,UK_ukpga_2008_29,Planning Act,💚 PLANNING & INFRASTRUCTURE,UK,ukpga,,may be disapplied: material:vehicle,probable,0.6,material/territorial,may be disapplied: material:vehicle
soft_disapplication,UK_ukpga_2018_15,Nuclear Safeguards Act,💚 NUCLEAR & RADIOLOGICAL,UK,ukpga,,may be disapplied: territorial:united_kingdom,probable,0.6,territorial,may be disapplied: territorial:united_kingdom
soft_disapplication,UK_ukpga_2020_22,Fisheries Act,💚 FISHERIES & FISHING,UK,ukpga,,may be disapplied: territorial:great_britain; may be disapplied: material:carriage_of_goods; may be disapplied: personal:operator; time window … to 2021-12-31,probable,0.6,territorial,may be disapplied: territorial:great_britain; may be disapplied: material:carriage_of_goods; may be disapplied: personal:operator; time window … to 2021-12-31
soft_disapplication,UK_uksi_1996_1656,Work in Compressed Air Regulations,💙 OH&S: Occupational / Personal Safety,UK,uksi,,may be disapplied: conditional:at_work; may be disapplied: material:diving_operations,probable,0.6,material/personal,may be disapplied: conditional:at_work; may be disapplied: material:diving_operations
soft_disapplication,UK_uksi_1996_913,"Offshore Installations and Wells (Design and Construction, etc.) Regulations",💙 OH&S: Offshore Safety,GB,uksi,,may be disapplied: personal:worker; may be disapplied: territorial:workplace,probable,0.525,territorial,may be disapplied: personal:worker; may be disapplied: territorial:workplace
soft_disapplication,UK_uksi_2002_2665,"Electricity Safety, Quality and Continuity Regulations",💙 OH&S: Gas & Electrical Safety,GB,uksi,,may be disapplied: material:substances,probable,0.6,personal,may be disapplied: material:substances
soft_disapplication,UK_uksi_2010_639,"Water Resources (Control of Pollution) (Silage, Slurry and Agricultural Fuel Oil) (England) Regulations",💚 WATER & WASTEWATER,E+W,uksi,,may be disapplied: material:vehicle,probable,0.6,material/territorial,may be disapplied: material:vehicle
soft_disapplication,UK_uksi_2011_1881,Toys (Safety) Regulations,💙 PUBLIC: Consumer / Product Safety,UK,uksi,,may be disapplied: territorial:united_kingdom; may be disapplied: material:vehicle; may be disapplied: material:construction_work,probable,0.6,personal,may be disapplied: territorial:united_kingdom; may be disapplied: material:vehicle; may be disapplied: material:construction_work
soft_disapplication,UK_uksi_2013_1582,Water Industry (Specified Infrastructure Projects) (English Undertakers) Regulations,💚 WATER & WASTEWATER,E+W,uksi,,may be disapplied: personal:operator,probable,0.6,material/territorial,may be disapplied: personal:operator
soft_disapplication,UK_uksi_2013_971,Offshore Combustion Installations (Pollution Prevention and Control) Regulations,💚 POLLUTION,UK,uksi,,may be disapplied: territorial:territorial_sea,probable,0.6,personal/territorial,may be disapplied: territorial:territorial_sea
soft_disapplication,UK_uksi_2018_369,Waste Enforcement (England and Wales) Regulations,💚 WASTE,UK,uksi,,may be disapplied: material:construction_work,probable,0.6,material/personal/territorial,may be disapplied: material:construction_work
soft_disapplication,UK_uksi_2019_196,Nuclear Safeguards (EU Exit) Regulations,💚 NUCLEAR & RADIOLOGICAL,UK,uksi,,may be disapplied: material:waste,probable,0.6,personal/territorial,may be disapplied: material:waste
soft_disapplication,UK_uksi_2020_206,Official Controls (Plant Health and Genetically Modified Organisms) (Wales) Regulations,💚 ENVIRONMENTAL PROTECTION,E+W,uksi,,may be disapplied: material:construction_work; may be disapplied: personal:operator; time window … to 2020-05-04,probable,0.6,territorial,may be disapplied: material:construction_work; may be disapplied: personal:operator; time window … to 2020-05-04
soft_disapplication,UK_uksi_2026_151,Fenwick Solar Farm Order,💚 PLANNING & INFRASTRUCTURE,UK,uksi,,may be disapplied: material:construction_work; may be disapplied: territorial:premises; time window … to 2026-05-08,probable,0.6,material,may be disapplied: material:construction_work; may be disapplied: territorial:premises; time window … to 2026-05-08
soft_disapplication,UK_uksi_2026_237,Bereaved Partner’s Paternity Leave Regulations,💜 HR: Employment,UK,uksi,,may be disapplied: material:construction_work,probable,0.6,personal,may be disapplied: material:construction_work
soft_disapplication,UK_uksi_2026_318,Ecodesign for Energy-Related Products and Energy Information (Household Tumble Dryers) Regulations,💚 ENERGY,UK,uksi,,may be disapplied: material:construction_work; time window 2027-01-19 to …,probable,0.6,territorial,may be disapplied: material:construction_work; time window 2027-01-19 to …
soft_disapplication,UK_uksi_2026_430,Merchant Shipping (Accident Reporting and Investigation) Regulations,💙 TRANSPORT: Maritime Safety,UK,uksi,,may be disapplied: material:substances,probable,0.6,material/territorial,may be disapplied: material:substances
soft_disapplication,UK_wsi_2021_77,Water Resources (Control of Agricultural Pollution) (Wales) Regulations,💚 WATER & WASTEWATER,E+W,wsi,,may be disapplied: material:explosives; may be disapplied: material:vehicle; may be disapplied: personal:occupier; time window … to 2023-01-01,probable,0.6,territorial,may be disapplied: material:explosives; may be disapplied: material:vehicle; may be disapplied: personal:occupier; time window … to 2023-01-01
soft_disapplication,UK_wsi_2026_105,Digital Waste Tracking (Wales) Regulations,💚 ENVIRONMENTAL PROTECTION,UK,wsi,,may be disapplied: material:waste; time window 2026-10-01 to …,probable,0.6,material/territorial,may be disapplied: material:waste; time window 2026-10-01 to …
territory_branch_match,UK_nisi_1992_1728,"Offshore, and Pipelines, Safety (Northern Ireland) Order",💙 OH&S: Offshore Safety,NI,nisi,t,tree has conditional/material/personal/territorial but matched on territory,probable,0.525,territorial,
territory_branch_match,UK_nisr_1995_340,Offshore Installations and Pipeline Works (Management and Administration) Regulations (Northern Ireland),💙 OH&S: Offshore Safety,UK,nisr,t,tree has material/personal/territorial but matched on territory,probable,0.7,territorial,
territory_branch_match,UK_nisr_1997_195,Gas Safety (Management) Regulations (Northern Ireland),💙 OH&S: Gas & Electrical Safety,UK,nisr,t,tree has material/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_ssi_2026_67,Animal Health (Fixed Penalty Notices) (Scotland) Regulations,💚 ANIMALS & ANIMAL HEALTH,UK,ssi,,tree has material/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_ukpga_1963_41,"Offices, Shops and Railway Premises Act",💙 OH&S: Occupational / Personal Safety,GB,ukpga,,tree has material/personal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_ukpga_1971_61,Mineral Workings (Offshore Installations) Act,💙 OH&S: Offshore Safety,UK,ukpga,,tree has material/personal/territorial but matched on territory,strong,0.8,territorial,
territory_branch_match,UK_ukpga_1978_38,Consumer Safety Act,💙 PUBLIC: Consumer / Product Safety,UK,ukpga,,tree has material/personal/territorial but matched on territory,strong,0.8,territorial,
territory_branch_match,UK_ukpga_1984_26,Inshore Fishing (Scotland) Act,💚 FISHERIES & FISHING,S,ukpga,,tree has material/personal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_ukpga_1987_12,Petroleum Act,💙 FIRE: Dangerous and Explosive Substances,UK,ukpga,,tree has material/personal/territorial but matched on territory,probable,0.75,territorial,
territory_branch_match,UK_ukpga_1990_11,Planning (Consequential Provisions) Act,💚 PLANNING & INFRASTRUCTURE,UK,ukpga,,tree has material/personal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_ukpga_1991_60,Water Consolidation (Consequential Provisions) Act,💚 WATER & WASTEWATER,UK,ukpga,,tree has material/personal/temporal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_ukpga_1992_51,Protection of Badgers Act,💚 WILDLIFE & COUNTRYSIDE,GB,ukpga,,tree has material/personal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_ukpga_1994_27,Inshore Fishing (Scotland) Act,💚 FISHERIES & FISHING,S,ukpga,,tree has personal/territorial but matched on territory,strong,1.0,territorial,
